[ 2025-07-28 08:53:12,468 ] 20 root - INFO - Initiate the data ingestion
[ 2025-07-28 08:53:15,697 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-07-28 08:53:15,697 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-28 08:53:15,698 ] 75 root - INFO - Exporting train and test file path.
[ 2025-07-28 08:53:15,801 ] 84 root - INFO - Exported train and test file path.
[ 2025-07-28 08:53:15,801 ] 22 root - INFO - Data Initiation Completed
[ 2025-07-28 08:53:15,813 ] 26 root - INFO - Initiate the data Validation
[ 2025-07-28 08:53:15,876 ] 32 root - INFO - Required number of columns:2
[ 2025-07-28 08:53:15,877 ] 33 root - INFO - Data frame has columns:31
[ 2025-07-28 08:53:15,877 ] 32 root - INFO - Required number of columns:2
[ 2025-07-28 08:53:15,877 ] 33 root - INFO - Data frame has columns:31
[ 2025-07-28 08:53:16,279 ] 28 root - INFO - data Validation Completed
[ 2025-07-28 08:53:16,280 ] 31 root - INFO - data Transformation started
[ 2025-07-28 08:53:16,280 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-28 08:53:16,280 ] 65 root - INFO - Starting data transformation
[ 2025-07-28 08:53:16,329 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-28 08:53:16,330 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-28 08:53:16,359 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-28 08:53:16,364 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-28 08:53:16,365 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-28 08:53:16,368 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-28 08:53:16,370 ] 35 root - INFO - data Transformation completed
[ 2025-07-28 08:53:16,371 ] 37 root - INFO - Model Training sstared
